seed_spec	current_label	current_score	benchmark_label	benchmark_score	delta_current_minus_benchmark	ratio_current_over_benchmark	current_log	benchmark_log
1,1000	iter19_particle_posterior_v3_endgame	139641.033399	random_1000	206006.000000	-66365	0.677849	benchmarks/20260629T070821Z_iter19_particle_posterior_v3_endgame/run_1_1000.log	benchmarks/20260624T161439Z_random_1000/run_1_1000.log
1,1000	iter19_particle_posterior_v3_endgame	139641.033399	iter1_1000	175604.000000	-35963	0.795204	benchmarks/20260629T070821Z_iter19_particle_posterior_v3_endgame/run_1_1000.log	benchmarks/20260624T161442Z_iter1_1000/run_1_1000.log
1,1000	iter19_particle_posterior_v3_endgame	139641.033399	iter2_hit_compatible_heatmap_reference	172466.000000	-32825	0.809673	benchmarks/20260629T070821Z_iter19_particle_posterior_v3_endgame/run_1_1000.log	benchmarks/20260624T162004Z_iter2_hit_compatible_heatmap/run_1_1000.log
1,1000	iter19_particle_posterior_v3_endgame	139641.033399	iter3_kill_segment_reference	168720.000000	-29079	0.82765	benchmarks/20260629T070821Z_iter19_particle_posterior_v3_endgame/run_1_1000.log	benchmarks/20260624T162346Z_iter3_kill_segment_inference/run_1_1000.log
1,1000	iter19_particle_posterior_v3_endgame	139641.033399	iter4_hit_required_heatmap_reference	167001.000000	-27360	0.836169	benchmarks/20260629T070821Z_iter19_particle_posterior_v3_endgame/run_1_1000.log	benchmarks/20260624T164439Z_iter4_hit_required_heatmap/run_1_1000.log
1,1000	iter19_particle_posterior_v3_endgame	139641.033399	iter5_single_hit_damped_chase_reference	166948.000000	-27307	0.836434	benchmarks/20260629T070821Z_iter19_particle_posterior_v3_endgame/run_1_1000.log	benchmarks/20260624T165229Z_iter5_single_hit_damped_chase/run_1_1000.log
1,1000	iter19_particle_posterior_v3_endgame	139641.033399	iter6_normalized_hunt_heatmap_reference	166703.000000	-27062	0.837664	benchmarks/20260629T070821Z_iter19_particle_posterior_v3_endgame/run_1_1000.log	benchmarks/20260624T165518Z_iter6_normalized_hunt_heatmap/run_1_1000.log
1,1000	iter19_particle_posterior_v3_endgame	139641.033399	iter7_blended_heatmap_a50_reference	165996.000000	-26355	0.841231	benchmarks/20260629T070821Z_iter19_particle_posterior_v3_endgame/run_1_1000.log	benchmarks/20260624T165925Z_iter7_blended_heatmap_a50/run_1_1000.log
1,1000	iter19_particle_posterior_v3_endgame	139641.033399	iter8_tuned_constants_reference	165398.000000	-25757	0.844273	benchmarks/20260629T070821Z_iter19_particle_posterior_v3_endgame/run_1_1000.log	benchmarks/20260624T171515Z_tune_s2_a0p60_sh0p50_cb0p0000/run_1_1000.log
1,1000	iter19_particle_posterior_v3_endgame	139641.033399	iter8_scan_density_heatmap_reference	165350.718049	-25709.7	0.844514	benchmarks/20260629T070821Z_iter19_particle_posterior_v3_endgame/run_1_1000.log	benchmarks/20260625T011652Z_iter8_scan_density_heatmap/run_1_1000.log
1,1000	iter19_particle_posterior_v3_endgame	139641.033399	iter9_scan_gate_p030_reference	162152.762637	-22511.7	0.86117	benchmarks/20260629T070821Z_iter19_particle_posterior_v3_endgame/run_1_1000.log	benchmarks/20260625T013305Z_iter9_scan_gate_p030/run_1_1000.log
1,1000	iter19_particle_posterior_v3_endgame	139641.033399	iter10_scan_threshold_p050_reference	157848.628917	-18207.6	0.884652	benchmarks/20260629T070821Z_iter19_particle_posterior_v3_endgame/run_1_1000.log	benchmarks/20260625T025301Z_scanthr_s1_p0p50/run_1_1000.log
1,1000	iter19_particle_posterior_v3_endgame	139641.033399	iter11_scan_threshold_p100_reference	152535.906257	-12894.9	0.915463	benchmarks/20260629T070821Z_iter19_particle_posterior_v3_endgame/run_1_1000.log	benchmarks/20260625T030041Z_scanthr_hi_s1_p1p00/run_1_1000.log
1,1000	iter19_particle_posterior_v3_endgame	139641.033399	iter12_conditional_scan_policy_p050_reference	152216.578124	-12575.5	0.917384	benchmarks/20260629T070821Z_iter19_particle_posterior_v3_endgame/run_1_1000.log	benchmarks/20260625T063453Z_iter12_conditional_scan_policy_p050/run_1_1000.log
1,1000	iter19_particle_posterior_v3_endgame	139641.033399	iter13_scan_weighted_heatmap_reference	148363.578124	-8722.54	0.941208	benchmarks/20260629T070821Z_iter19_particle_posterior_v3_endgame/run_1_1000.log	benchmarks/20260625T083623Z_iter13_scan_weighted_heatmap/run_1_1000.log
1,1000	iter19_particle_posterior_v3_endgame	139641.033399	iter14f_infer_killed_hits_n_reference	148363.578124	-8722.54	0.941208	benchmarks/20260629T070821Z_iter19_particle_posterior_v3_endgame/run_1_1000.log	benchmarks/20260625T092555Z_iter14f_infer_killed_hits_n/run_1_1000.log
1,1000	iter19_particle_posterior_v3_endgame	139641.033399	iter16_scan_threshold_p025_reference	147673.033399	-8032	0.94561	benchmarks/20260629T070821Z_iter19_particle_posterior_v3_endgame/run_1_1000.log	benchmarks/20260625T093857Z_tune_scanthr_p025_1_1000/run_1_1000.log
1,1000	iter19_particle_posterior_v3_endgame	139641.033399	iter17_placement_based_kill_inference_reference	139876.033399	-235	0.99832	benchmarks/20260629T070821Z_iter19_particle_posterior_v3_endgame/run_1_1000.log	benchmarks/20260625T095348Z_iter17_placement_based_kill_inference/run_1_1000.log
